,player,position,team,birthdate,birthyear,birthmonth,birthday,currentyear,age
0,Derrick Henry,RB,TEN,1994-01-04,1994,1,4,2021,27
1,Alvin Kamara,RB,NO,1995-07-25,1995,7,25,2021,26
2,Davante Adams,WR,GB,1992-12-24,1992,12,24,2021,29
3,Dalvin Cook,RB,MIN,1995-08-10,1995,8,10,2021,26
4,Tyreek Hill,WR,KC,1994-03-01,1994,3,1,2021,27
5,Aaron Jones,RB,GB,1994-12-02,1994,12,2,2021,27
6,Austin Ekeler,RB,LAC,1995-05-17,1995,5,17,2021,26
7,Travis Kelce,TE,KC,1989-10-05,1989,10,5,2021,32
8,DeAndre Hopkins,WR,ARI,1992-06-06,1992,6,6,2021,29
9,Calvin Ridley,WR,ATL,1994-12-20,1994,12,20,2021,27
10,Allen Robinson II,WR,CHI,1993-08-24,1993,8,24,2021,28
11,Keenan Allen,WR,LAC,1992-04-27,1992,4,27,2021,29
12,Stefon Diggs,WR,BUF,1993-11-29,1993,11,29,2021,28
13,David Montgomery,RB,CHI,1997-06-07,1997,6,7,2021,24
14,D'Andre Swift,RB,DET,1999-01-14,1999,1,14,2021,22
15,Robert Woods,WR,LAR,1992-04-10,1992,4,10,2021,29
16,Nick Chubb,RB,CLE,1995-12-27,1995,12,27,2021,26
17,A.J. Brown,WR,TEN,1997-06-30,1997,6,30,2021,24
18,Justin Jefferson,WR,MIN,1999-01-16,1999,1,16,2021,22
19,Miles Sanders,RB,PHI,1997-05-01,1997,5,1,2021,24
20,Josh Jacobs,RB,LV,1998-02-11,1998,2,11,2021,23
21,D.K. Metcalf,WR,SEA,1997-12-14,1997,12,14,2021,24
22,Darren Waller,TE,LV,1992-09-13,1992,9,13,2021,29
23,Brandon Aiyuk,WR,SF,1998-03-17,1998,3,17,2021,23
24,Terry McLaurin,WR,WAS,1995-09-15,1995,9,15,2021,26
25,J.K. Dobbins,RB,BAL,1998-12-17,1998,12,17,2021,23
26,Chris Carson,RB,SEA,1994-09-16,1994,9,16,2021,27
27,Jonathan Taylor,RB,IND,1999-01-19,1999,1,19,2021,22
28,Adam Thielen,WR,MIN,1990-08-22,1990,8,22,2021,31
29,Patrick Mahomes II,QB,KC,1995-09-17,1995,9,17,2021,26
30,Mike Evans,WR,TB,1993-08-21,1993,8,21,2021,28
31,David Johnson,RB,HOU,1991-12-16,1991,12,16,2021,30
32,T.J. Hockenson,TE,DET,1997-07-03,1997,7,3,2021,24
33,Diontae Johnson,WR,PIT,1996-07-05,1996,7,5,2021,25
34,Jarvis Landry,WR,CLE,1992-11-28,1992,11,28,2021,29
35,D.J. Moore,WR,CAR,1997-04-14,1997,4,14,2021,24
36,Cooper Kupp,WR,LAR,1993-06-15,1993,6,15,2021,28
37,Kareem Hunt,RB,CLE,1995-08-06,1995,8,6,2021,26
38,Mark Andrews,TE,BAL,1996-09-06,1996,9,6,2021,25
39,Kenyan Drake,RB,LV,1994-01-26,1994,1,26,2021,27
40,Melvin Gordon III,RB,DEN,1993-04-13,1993,4,13,2021,28
41,J.D. McKissic,RB,WAS,1993-08-15,1993,8,15,2021,28
42,Chris Godwin,WR,TB,1996-02-27,1996,2,27,2021,25
43,Brandin Cooks,WR,HOU,1993-09-25,1993,9,25,2021,28
