,Teamname,2019sck,2019int,2019fr,2019td,2019pa,2019ya,2019fpts,2020sck,2020int,2020fr,2020td,2020pa,2020ya,2020fpts
0,Steelers D/ST,54,20,18,4,285,4866,181.0,44,13,12,3,303,5443,137.08
1,Bills D/ST,44,14,9,1,251,4772,131.0,41,13,11,3,306,5352,134.16
2,49ers D/ST,48,12,15,5,296,4509,164.0,44,13,13,3,321,5489,124.74
3,Colts D/ST,41,15,8,3,355,5549,114.0,42,11,10,3,314,5446,122.57
4,Patriots D/ST,47,25,11,7,195,4414,225.0,41,14,8,2,314,5438,122.18
5,Ravens D/ST,37,13,12,6,282,4809,152.0,42,14,10,2,328,5485,118.39
6,Broncos D/ST,40,10,6,1,310,5392,81.0,39,13,8,2,307,5542,112.55
7,Saints D/ST,51,13,10,4,341,5329,128.0,42,13,10,3,337,5602,110.5
8,Bears D/ST,32,10,9,2,298,5186,95.0,39,11,11,3,343,5461,110.21
9,Vikings D/ST,48,17,14,2,301,5465,132.0,39,13,11,3,330,5650,107.41
10,Buccaneers D/ST,47,12,16,6,405,5503,126.0,40,13,12,2,354,5660,105.91
11,Jets D/ST,35,12,9,6,341,5170,129.0,37,13,9,2,359,5457,103.25
12,Chargers D/ST,30,11,3,1,327,5009,80.0,36,11,7,3,317,5564,101.38
13,Cowboys D/ST,39,7,10,1,321,5232,96.0,41,13,9,3,337,5675,100.59
14,Bengals D/ST,31,11,5,1,390,6299,34.0,38,12,9,3,358,5666,94.68
15,Lions D/ST,28,7,11,3,411,6406,39.0,39,12,10,3,365,5709,90.99
16,Browns D/ST,38,14,6,1,377,5785,69.0,40,13,9,2,359,5719,87.77
17,Chiefs D/ST,45,16,7,4,302,5594,122.0,42,12,9,3,362,5726,85.72
18,Rams D/ST,50,13,11,4,340,5434,127.0,40,13,9,3,368,5670,85.58
19,Titans D/ST,43,14,9,4,331,5752,117.0,37,13,6,2,358,5668,84.54
20,Eagles D/ST,43,11,9,3,354,5307,107.0,40,14,10,2,365,5763,84.49
21,Dolphins D/ST,23,13,3,2,478,6364,22.0,37,12,9,3,372,5669,84.4
22,Seahawks D/ST,28,16,16,3,368,6106,89.0,39,13,8,3,358,5775,84.09
23,Packers D/ST,41,17,7,0,313,5642,89.0,41,12,8,2,361,5801,76.38
24,Texans D/ST,31,12,10,2,377,6213,65.0,37,12,10,2,381,5730,74.96
25,Cardinals D/ST,40,7,10,0,424,6432,31.0,41,12,10,2,391,5807,72.44
26,Raiders D/ST,32,9,6,2,399,5677,55.0,37,13,8,2,368,5826,68.45
27,Jaguars D/ST,47,10,9,2,383,6007,79.0,39,13,10,3,404,5834,68.07
28,Falcons D/ST,28,12,8,3,375,5693,82.0,35,11,9,3,391,5949,57.26
29,Washington D/ST,46,13,9,1,417,6162,65.0,37,12,8,3,415,5836,57.17
30,Giants D/ST,36,10,6,3,431,6037,57.0,36,12,7,2,405,5979,51.68
31,Panthers D/ST,53,14,7,1,464,5992,72.0,35,11,8,3,430,6044,46.82
