,Playername,Team,Position,2019tar,2019rec,2019recyards,2019avgrecyards,2019rectds,2019rushcar,2019rushyards,2019rushtds,2019fpts,2020tar,2020rec,2020recyards,2020avgrecyards,2020rectds,2020rushcar,2020rushyards,2020rushtds,2020fpts
0,Michael Thomas,Saints,WR,185.0,149.0,1725.0,11.6,9.0,1.0,-9.0,0.0,374.6,152.0,114.0,1351.0,11.9,9.0,0.0,0.0,0.0,301.44
1,DeAndre Hopkins,Cardinals,WR,150.0,104.0,1165.0,11.2,7.0,2.0,18.0,0.0,268.54,141.0,92.0,1140.0,12.3,8.0,4.0,23.0,0.0,255.3
2,Julio Jones,Falcons,WR,157.0,99.0,1394.0,14.1,6.0,2.0,-3.0,0.0,274.1,139.0,89.0,1245.0,14.0,7.0,2.0,10.0,0.0,253.95
3,Chris Godwin,Buccaneers,WR,120.0,86.0,1333.0,15.5,9.0,1.0,8.0,0.0,276.1,131.0,88.0,1191.0,13.6,8.0,0.0,0.0,0.0,251.83
4,Davante Adams,Packers,WR,127.0,83.0,997.0,12.0,5.0,0.0,0.0,0.0,212.7,137.0,90.0,1149.0,12.7,7.0,0.0,0.0,0.0,249.39
5,Tyreek Hill,Chiefs,WR,89.0,58.0,860.0,14.8,7.0,8.0,23.0,0.0,188.3,124.0,79.0,1120.0,14.2,8.0,10.0,65.0,1.0,249.21
6,Mike Evans,Buccaneers,WR,115.0,67.0,1157.0,17.3,8.0,0.0,0.0,0.0,232.7,137.0,77.0,1171.0,15.1,9.0,0.0,0.0,0.0,249.12
7,Adam Thielen,Vikings,WR,47.0,30.0,418.0,13.9,6.0,4.0,6.0,1.0,114.4,120.0,78.0,1104.0,14.2,6.0,4.0,25.0,0.0,229.98
8,DJ Moore,Panthers,WR,135.0,87.0,1175.0,13.5,4.0,6.0,40.0,0.0,230.5,132.0,87.0,1122.0,12.9,4.0,7.0,49.0,0.0,229.1
9,Kenny Golladay,Lions,WR,116.0,65.0,1190.0,18.3,11.0,0.0,0.0,0.0,248.0,116.0,66.0,1114.0,16.9,8.0,0.0,0.0,0.0,224.8
10,JuJu Smith-Schuster,Steelers,WR,71.0,42.0,552.0,13.1,3.0,0.0,0.0,0.0,113.2,127.0,80.0,1035.0,12.9,7.0,0.0,0.0,0.0,223.95
11,Allen Robinson II,Bears,WR,154.0,98.0,1147.0,11.7,7.0,1.0,2.0,0.0,254.9,138.0,85.0,1041.0,12.3,6.0,2.0,11.0,0.0,223.82
12,Amari Cooper,Cowboys,WR,119.0,79.0,1189.0,15.1,8.0,1.0,6.0,0.0,246.5,117.0,75.0,1066.0,14.3,7.0,2.0,12.0,0.0,222.48
13,Robert Woods,Rams,WR,139.0,90.0,1134.0,12.6,2.0,17.0,115.0,1.0,232.9,128.0,83.0,1051.0,12.7,3.0,15.0,101.0,1.0,222.23
14,Calvin Ridley,Falcons,WR,93.0,63.0,866.0,13.7,7.0,2.0,34.0,0.0,197.0,115.0,77.0,1016.0,13.3,7.0,2.0,11.0,0.0,220.08
15,Courtland Sutton,Broncos,WR,125.0,72.0,1112.0,15.4,6.0,3.0,17.0,0.0,222.42,125.0,73.0,1049.0,14.3,7.0,2.0,12.0,0.0,219.98
16,Tyler Lockett,Seahawks,WR,110.0,82.0,1057.0,12.9,8.0,4.0,-5.0,0.0,235.2,104.0,73.0,993.0,13.6,7.0,4.0,27.0,0.0,218.42
17,Odell Beckham Jr.,Browns,WR,133.0,74.0,1035.0,14.0,4.0,3.0,10.0,0.0,201.3,127.0,72.0,1010.0,14.0,7.0,4.0,24.0,0.0,216.07
18,A.J. Brown,Titans,WR,84.0,52.0,1051.0,20.2,8.0,3.0,60.0,1.0,217.1,110.0,67.0,1040.0,15.6,7.0,4.0,27.0,0.0,215.49
19,Cooper Kupp,Rams,WR,134.0,94.0,1161.0,12.4,10.0,2.0,4.0,0.0,270.5,117.0,80.0,992.0,12.5,6.0,4.0,23.0,0.0,215.21
