,team_name,week_id,days_since_last_game
0,CHI,2019_1,365
1,CHI,2019_2,10
2,CHI,2019_3,8
3,CHI,2019_4,6
4,CHI,2019_5,7
5,CHI,2019_7,14
6,CHI,2019_8,7
7,CHI,2019_9,7
8,CHI,2019_10,7
9,CHI,2019_11,7
10,CHI,2019_12,7
11,CHI,2019_13,4
12,CHI,2019_14,7
13,CHI,2019_15,10
14,CHI,2019_16,7
15,CHI,2019_17,7
16,CHI,2020_1,259
17,CHI,2020_2,7
18,CHI,2020_3,7
19,CHI,2020_4,7
20,CHI,2020_5,4
21,CHI,2020_6,10
22,CHI,2020_7,8
23,CHI,2020_8,6
24,CHI,2020_9,7
25,CHI,2020_10,8
26,CHI,2020_12,13
27,CHI,2020_13,7
28,CHI,2020_14,7
29,CHI,2020_15,7
30,CHI,2020_16,7
31,CHI,2020_17,7
32,ARZ,2019_1,365
33,ARZ,2019_2,7
34,ARZ,2019_3,7
35,ARZ,2019_4,7
36,ARZ,2019_5,7
37,ARZ,2019_6,7
38,ARZ,2019_7,7
39,ARZ,2019_8,7
40,ARZ,2019_9,4
41,ARZ,2019_10,10
42,ARZ,2019_11,7
43,ARZ,2019_13,14
44,ARZ,2019_14,7
45,ARZ,2019_15,7
46,ARZ,2019_16,7
47,ARZ,2019_17,7
48,ARZ,2020_1,259
49,ARZ,2020_2,7
50,ARZ,2020_3,7
51,ARZ,2020_4,7
52,ARZ,2020_5,7
53,ARZ,2020_6,8
54,ARZ,2020_7,6
55,ARZ,2020_9,14
56,ARZ,2020_10,7
57,ARZ,2020_11,4
58,ARZ,2020_12,10
59,ARZ,2020_13,7
60,ARZ,2020_14,7
61,ARZ,2020_15,7
62,ARZ,2020_16,6
63,ARZ,2020_17,8
64,CAR,2019_1,365
65,CAR,2019_2,4
66,CAR,2019_3,10
67,CAR,2019_4,7
68,CAR,2019_5,7
69,CAR,2019_6,7
70,CAR,2019_8,14
71,CAR,2019_9,7
72,CAR,2019_10,7
73,CAR,2019_11,7
74,CAR,2019_12,7
75,CAR,2019_13,7
76,CAR,2019_14,7
77,CAR,2019_15,7
78,CAR,2019_16,7
79,CAR,2019_17,7
80,CAR,2020_1,259
81,CAR,2020_2,7
82,CAR,2020_3,7
83,CAR,2020_4,7
84,CAR,2020_5,7
85,CAR,2020_6,7
86,CAR,2020_7,7
87,CAR,2020_8,4
88,CAR,2020_9,10
89,CAR,2020_10,7
90,CAR,2020_11,7
91,CAR,2020_12,7
92,CAR,2020_14,14
93,CAR,2020_15,6
94,CAR,2020_16,8
95,CAR,2020_17,7
96,CLV,2019_1,365
97,CLV,2019_2,8
98,CLV,2019_3,6
99,CLV,2019_4,7
100,CLV,2019_5,8
101,CLV,2019_6,6
102,CLV,2019_8,14
103,CLV,2019_9,7
104,CLV,2019_10,7
105,CLV,2019_11,4
106,CLV,2019_12,10
107,CLV,2019_13,7
108,CLV,2019_14,7
109,CLV,2019_15,7
110,CLV,2019_16,7
111,CLV,2019_17,7
112,CLV,2020_1,259
113,CLV,2020_2,4
114,CLV,2020_3,10
115,CLV,2020_4,7
116,CLV,2020_5,7
117,CLV,2020_6,7
118,CLV,2020_7,7
119,CLV,2020_8,7
120,CLV,2020_10,14
121,CLV,2020_11,7
122,CLV,2020_12,7
123,CLV,2020_13,7
124,CLV,2020_14,8
125,CLV,2020_15,6
126,CLV,2020_16,7
127,CLV,2020_17,7
128,DAL,2019_1,365
129,DAL,2019_2,7
130,DAL,2019_3,7
131,DAL,2019_4,7
132,DAL,2019_5,7
133,DAL,2019_6,7
134,DAL,2019_7,7
135,DAL,2019_9,15
136,DAL,2019_10,6
137,DAL,2019_11,7
138,DAL,2019_12,7
139,DAL,2019_13,4
140,DAL,2019_14,7
141,DAL,2019_15,10
142,DAL,2019_16,7
143,DAL,2019_17,7
144,DAL,2020_1,259
145,DAL,2020_2,7
146,DAL,2020_3,7
147,DAL,2020_4,7
148,DAL,2020_5,7
149,DAL,2020_6,8
150,DAL,2020_7,6
151,DAL,2020_8,7
152,DAL,2020_9,7
153,DAL,2020_11,14
154,DAL,2020_12,4
155,DAL,2020_13,12
156,DAL,2020_14,5
157,DAL,2020_15,7
158,DAL,2020_16,7
159,DAL,2020_17,7
160,JAX,2019_1,365
161,JAX,2019_2,7
162,JAX,2019_3,4
163,JAX,2019_4,10
164,JAX,2019_5,7
165,JAX,2019_6,7
166,JAX,2019_7,7
167,JAX,2019_8,7
168,JAX,2019_9,7
169,JAX,2019_11,14
170,JAX,2019_12,7
171,JAX,2019_13,7
172,JAX,2019_14,7
173,JAX,2019_15,7
174,JAX,2019_16,7
175,JAX,2019_17,7
176,JAX,2020_1,259
177,JAX,2020_2,7
178,JAX,2020_3,4
179,JAX,2020_4,10
180,JAX,2020_5,7
181,JAX,2020_6,7
182,JAX,2020_7,7
183,JAX,2020_9,14
184,JAX,2020_10,7
185,JAX,2020_11,7
186,JAX,2020_12,7
187,JAX,2020_13,7
188,JAX,2020_14,7
189,JAX,2020_15,7
190,JAX,2020_16,7
191,JAX,2020_17,7
192,LAC,2019_1,365
193,LAC,2019_2,7
194,LAC,2019_3,7
195,LAC,2019_4,7
196,LAC,2019_5,7
197,LAC,2019_6,7
198,LAC,2019_7,7
199,LAC,2019_8,7
200,LAC,2019_9,7
201,LAC,2019_10,4
202,LAC,2019_11,11
203,LAC,2019_13,13
204,LAC,2019_14,7
205,LAC,2019_15,7
206,LAC,2019_16,7
207,LAC,2019_17,7
208,LAC,2020_1,259
209,LAC,2020_2,7
210,LAC,2020_3,7
211,LAC,2020_4,7
212,LAC,2020_5,8
213,LAC,2020_7,13
214,LAC,2020_8,7
215,LAC,2020_9,7
216,LAC,2020_10,7
217,LAC,2020_11,7
218,LAC,2020_12,7
219,LAC,2020_13,7
220,LAC,2020_14,7
221,LAC,2020_15,4
222,LAC,2020_16,10
223,LAC,2020_17,7
224,MIA,2019_1,365
225,MIA,2019_2,7
226,MIA,2019_3,7
227,MIA,2019_4,7
228,MIA,2019_6,14
229,MIA,2019_7,7
230,MIA,2019_8,8
231,MIA,2019_9,6
232,MIA,2019_10,7
233,MIA,2019_11,7
234,MIA,2019_12,7
235,MIA,2019_13,7
236,MIA,2019_14,7
237,MIA,2019_15,7
238,MIA,2019_16,7
239,MIA,2019_17,7
240,MIA,2020_1,259
241,MIA,2020_2,7
242,MIA,2020_3,4
243,MIA,2020_4,10
244,MIA,2020_5,7
245,MIA,2020_6,7
246,MIA,2020_8,14
247,MIA,2020_9,7
248,MIA,2020_10,7
249,MIA,2020_11,7
250,MIA,2020_12,7
251,MIA,2020_13,7
252,MIA,2020_14,7
253,MIA,2020_15,7
254,MIA,2020_16,6
255,MIA,2020_17,8
256,MIN,2019_1,365
257,MIN,2019_2,7
258,MIN,2019_3,7
259,MIN,2019_4,7
260,MIN,2019_5,7
261,MIN,2019_6,7
262,MIN,2019_7,7
263,MIN,2019_8,4
264,MIN,2019_9,10
265,MIN,2019_10,7
266,MIN,2019_11,7
267,MIN,2019_13,15
268,MIN,2019_14,6
269,MIN,2019_15,7
270,MIN,2019_16,8
271,MIN,2019_17,6
272,MIN,2020_1,259
273,MIN,2020_2,7
274,MIN,2020_3,7
275,MIN,2020_4,7
276,MIN,2020_5,7
277,MIN,2020_6,7
278,MIN,2020_8,14
279,MIN,2020_9,7
280,MIN,2020_10,8
281,MIN,2020_11,6
282,MIN,2020_12,7
283,MIN,2020_13,7
284,MIN,2020_14,7
285,MIN,2020_15,7
286,MIN,2020_16,5
287,MIN,2020_17,9
288,NE,2019_1,365
289,NE,2019_2,7
290,NE,2019_3,7
291,NE,2019_4,7
292,NE,2019_5,7
293,NE,2019_6,4
294,NE,2019_7,11
295,NE,2019_8,6
296,NE,2019_9,7
297,NE,2019_11,14
298,NE,2019_12,7
299,NE,2019_13,7
300,NE,2019_14,7
301,NE,2019_15,7
302,NE,2019_16,6
303,NE,2019_17,8
304,NE,2020_1,259
305,NE,2020_2,7
306,NE,2020_3,7
307,NE,2020_4,8
308,NE,2020_6,13
309,NE,2020_7,7
310,NE,2020_8,7
311,NE,2020_9,8
312,NE,2020_10,6
313,NE,2020_11,7
314,NE,2020_12,7
315,NE,2020_13,7
316,NE,2020_14,4
317,NE,2020_15,10
318,NE,2020_16,8
319,NE,2020_17,6
320,NYJ,2019_1,365
321,NYJ,2019_2,8
322,NYJ,2019_3,6
323,NYJ,2019_5,14
324,NYJ,2019_6,7
325,NYJ,2019_7,8
326,NYJ,2019_8,6
327,NYJ,2019_9,7
328,NYJ,2019_10,7
329,NYJ,2019_11,7
330,NYJ,2019_12,7
331,NYJ,2019_13,7
332,NYJ,2019_14,7
333,NYJ,2019_15,4
334,NYJ,2019_16,10
335,NYJ,2019_17,7
336,NYJ,2020_1,259
337,NYJ,2020_2,7
338,NYJ,2020_3,7
339,NYJ,2020_4,4
340,NYJ,2020_5,10
341,NYJ,2020_6,7
342,NYJ,2020_7,7
343,NYJ,2020_8,7
344,NYJ,2020_9,8
345,NYJ,2020_11,13
346,NYJ,2020_12,7
347,NYJ,2020_13,7
348,NYJ,2020_14,7
349,NYJ,2020_15,7
350,NYJ,2020_16,7
351,NYJ,2020_17,7
352,PHI,2019_1,365
353,PHI,2019_2,7
354,PHI,2019_3,7
355,PHI,2019_4,4
356,PHI,2019_5,10
357,PHI,2019_6,7
358,PHI,2019_7,7
359,PHI,2019_8,7
360,PHI,2019_9,7
361,PHI,2019_11,14
362,PHI,2019_12,7
363,PHI,2019_13,7
364,PHI,2019_14,8
365,PHI,2019_15,6
366,PHI,2019_16,7
367,PHI,2019_17,7
368,PHI,2020_1,259
369,PHI,2020_2,7
370,PHI,2020_3,7
371,PHI,2020_4,7
372,PHI,2020_5,7
373,PHI,2020_6,7
374,PHI,2020_7,4
375,PHI,2020_8,10
376,PHI,2020_10,14
377,PHI,2020_11,7
378,PHI,2020_12,8
379,PHI,2020_13,6
380,PHI,2020_14,7
381,PHI,2020_15,7
382,PHI,2020_16,7
383,PHI,2020_17,7
384,SEA,2019_1,365
385,SEA,2019_2,7
386,SEA,2019_3,7
387,SEA,2019_4,7
388,SEA,2019_5,4
389,SEA,2019_6,10
390,SEA,2019_7,7
391,SEA,2019_8,7
392,SEA,2019_9,7
393,SEA,2019_10,8
394,SEA,2019_12,13
395,SEA,2019_13,8
396,SEA,2019_14,6
397,SEA,2019_15,7
398,SEA,2019_16,7
399,SEA,2019_17,7
400,SEA,2020_1,259
401,SEA,2020_2,7
402,SEA,2020_3,7
403,SEA,2020_4,7
404,SEA,2020_5,7
405,SEA,2020_7,14
406,SEA,2020_8,7
407,SEA,2020_9,7
408,SEA,2020_10,7
409,SEA,2020_11,4
410,SEA,2020_12,11
411,SEA,2020_13,6
412,SEA,2020_14,7
413,SEA,2020_15,7
414,SEA,2020_16,7
415,SEA,2020_17,7
416,TB,2019_1,365
417,TB,2019_2,4
418,TB,2019_3,10
419,TB,2019_4,7
420,TB,2019_5,7
421,TB,2019_6,7
422,TB,2019_8,14
423,TB,2019_9,7
424,TB,2019_10,7
425,TB,2019_11,7
426,TB,2019_12,7
427,TB,2019_13,7
428,TB,2019_14,7
429,TB,2019_15,7
430,TB,2019_16,6
431,TB,2019_17,8
432,TB,2020_1,259
433,TB,2020_2,7
434,TB,2020_3,7
435,TB,2020_4,7
436,TB,2020_5,4
437,TB,2020_6,10
438,TB,2020_7,7
439,TB,2020_8,8
440,TB,2020_9,6
441,TB,2020_10,7
442,TB,2020_11,8
443,TB,2020_12,6
444,TB,2020_14,14
445,TB,2020_15,7
446,TB,2020_16,6
447,TB,2020_17,8
448,NO,2019_1,365
449,NO,2019_2,6
450,NO,2019_3,7
451,NO,2019_4,7
452,NO,2019_5,7
453,NO,2019_6,7
454,NO,2019_7,7
455,NO,2019_8,7
456,NO,2019_10,14
457,NO,2019_11,7
458,NO,2019_12,7
459,NO,2019_13,4
460,NO,2019_14,10
461,NO,2019_15,8
462,NO,2019_16,6
463,NO,2019_17,7
464,NO,2020_1,259
465,NO,2020_2,8
466,NO,2020_3,6
467,NO,2020_4,7
468,NO,2020_5,8
469,NO,2020_7,13
470,NO,2020_8,7
471,NO,2020_9,7
472,NO,2020_10,7
473,NO,2020_11,7
474,NO,2020_12,7
475,NO,2020_13,7
476,NO,2020_14,7
477,NO,2020_15,7
478,NO,2020_16,5
479,NO,2020_17,9
480,LV,2019_1,365
481,LV,2019_2,6
482,LV,2019_3,7
483,LV,2019_4,7
484,LV,2019_5,7
485,LV,2019_7,14
486,LV,2019_8,7
487,LV,2019_9,7
488,LV,2019_10,4
489,LV,2019_11,10
490,LV,2019_12,7
491,LV,2019_13,7
492,LV,2019_14,7
493,LV,2019_15,7
494,LV,2019_16,7
495,LV,2019_17,7
496,LV,2020_1,259
497,LV,2020_2,8
498,LV,2020_3,6
499,LV,2020_4,7
500,LV,2020_5,7
501,LV,2020_7,14
502,LV,2020_8,7
503,LV,2020_9,7
504,LV,2020_10,7
505,LV,2020_11,7
506,LV,2020_12,7
507,LV,2020_13,7
508,LV,2020_14,7
509,LV,2020_15,4
510,LV,2020_16,9
511,LV,2020_17,8
512,ATL,2019_1,365
513,ATL,2019_2,7
514,ATL,2019_3,7
515,ATL,2019_4,7
516,ATL,2019_5,7
517,ATL,2019_6,7
518,ATL,2019_7,7
519,ATL,2019_8,7
520,ATL,2019_10,14
521,ATL,2019_11,7
522,ATL,2019_12,7
523,ATL,2019_13,4
524,ATL,2019_14,10
525,ATL,2019_15,7
526,ATL,2019_16,7
527,ATL,2019_17,7
528,ATL,2020_1,259
529,ATL,2020_2,7
530,ATL,2020_3,7
531,ATL,2020_4,8
532,ATL,2020_5,6
533,ATL,2020_6,7
534,ATL,2020_7,7
535,ATL,2020_8,4
536,ATL,2020_9,10
537,ATL,2020_11,14
538,ATL,2020_12,7
539,ATL,2020_13,7
540,ATL,2020_14,7
541,ATL,2020_15,7
542,ATL,2020_16,7
543,ATL,2020_17,7
544,BLT,2019_1,365
545,BLT,2019_2,7
546,BLT,2019_3,7
547,BLT,2019_4,7
