GameKey,SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,HomeOrAway,TeamID,OpponentID,ScoreID,week_id
201810101,1,2018,1,2018-09-09T16:25:00,ARI,WAS,24.0,0.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0,5.0,24.0,0.0,5.0,5.0,1,HOME,1,35,16665,2018_1
201810126,1,2018,1,2018-09-06T20:20:00,ATL,PHI,18.0,0.0,2.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0,7.0,18.0,0.0,7.0,7.0,2,AWAY,2,26,16654,2018_1
201810103,1,2018,1,2018-09-09T13:00:00,BAL,BUF,3.0,0.0,6.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0,17.0,3.0,0.0,17.0,17.0,36,HOME,3,4,16662,2018_1
201810103,1,2018,1,2018-09-09T13:00:00,BUF,BAL,47.0,0.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0,0.0,47.0,0.0,0.0,0.0,37,AWAY,4,3,16662,2018_1
201810105,1,2018,1,2018-09-09T16:25:00,CAR,DAL,8.0,0.0,6.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0,12.0,8.0,0.0,12.0,12.0,5,HOME,5,9,16666,2018_1
201810112,1,2018,1,2018-09-09T20:20:00,CHI,GB,24.0,1.0,4.0,40.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,0,14.0,24.0,0.0,14.0,14.0,38,AWAY,6,12,16667,2018_1
201810114,1,2018,1,2018-09-09T13:00:00,CIN,IND,23.0,1.0,2.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,0,12.0,23.0,0.0,12.0,12.0,7,AWAY,7,14,16656,2018_1
201810108,1,2018,1,2018-09-09T13:00:00,CLE,PIT,21.0,0.0,4.0,22.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0,16.0,21.0,0.0,16.0,16.0,8,HOME,8,28,16655,2018_1
201810105,1,2018,1,2018-09-09T16:25:00,DAL,CAR,16.0,0.0,3.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0,6.0,16.0,0.0,6.0,6.0,48,AWAY,9,5,16666,2018_1
201810110,1,2018,1,2018-09-09T16:25:00,DEN,SEA,24.0,0.0,6.0,56.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0,12.0,24.0,0.0,12.0,12.0,49,HOME,10,30,16664,2018_1
