,Week_id,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,2019_3,Kyle Allen,QB,CAR,261.0,4.0,0.0,26.0,19.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.34,24.34,24.34
1,2019_3,Deshaun Watson,QB,HOU,351.0,3.0,0.0,34.0,25.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,25.84,25.84,25.84
2,2019_3,Patrick Mahomes,QB,KAN,374.0,3.0,0.0,37.0,27.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.86,27.86,27.86
3,2019_3,Matt Ryan,QB,ATL,304.0,3.0,1.0,34.0,29.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.46,22.46,22.46
4,2019_3,Ryan Fitzpatrick,QB,MIA,29.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,1.16,1.16
5,2019_3,Jacoby Brissett,QB,IND,310.0,2.0,0.0,37.0,28.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,20.8,20.8
6,2019_3,Mitchell Trubisky,QB,CHI,231.0,3.0,1.0,31.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,19.44,19.44
7,2019_3,Teddy Bridgewater,QB,NOR,177.0,2.0,0.0,27.0,19.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.28,16.28,16.28
8,2019_3,Daniel Jones,QB,NYG,336.0,2.0,0.0,36.0,23.0,4.0,28.0,2.0,0.0,0.0,0.0,0.0,2.0,32.239999999999995,32.239999999999995,32.239999999999995
9,2019_3,Jameis Winston,QB,TAM,380.0,3.0,1.0,37.0,23.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,25.5,25.5
10,2019_3,Kirk Cousins,QB,MIN,174.0,1.0,0.0,21.0,15.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.56,12.56,12.56
11,2019_3,Gardner Minshew,QB,JAX,204.0,2.0,0.0,30.0,20.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,17.96,17.96,17.96
