Team,Conference,latitude,longitude,zip,pic,Unnamed: 6,elevation
Titans,AFC,36.166461,-86.771289,37213,y,g,1210403.1372070308
Giants,NFC,40.812194,-74.076983,10021,y,,-17905.558347702034
Steelers,AFC,40.446785999999996,-80.015761,15202,y,,2205913.543701172
Panthers,NFC,35.225808,-80.852861,28202,y,g,2208777.4658203116
Ravens,AFC,39.277969,-76.62276700000001,21203,y,g,29985.907077789314
Buccaneers,NFC,27.975966999999997,-82.50335,33607,y,g,110982.31315612789
Colts,AFC,39.760056,-86.16380600000001,46201,y,,2163370.361328125
Vikings,NFC,44.973881,-93.258094,56760,y,,2605075.0732421884
Cardinals,NFC,33.5277,-112.26260800000001,63102,y,,3256578.9794921884
Cowboys,NFC,32.747778000000004,-97.09277800000001,75203,y,,2309647.064208984
Falcons,NFC,33.757614000000004,-84.400972,30303,y,,3035798.33984375
Jets,AFC,40.812194,-74.076983,10001,y,,-17905.558347702034
Broncos,AFC,39.743936,-105.02009699999999,28037,y,g,15835462.64648438
Dolphins,AFC,25.957919,-80.238842,33102,y,,26168.2391166687
Eagles,NFC,39.900775,-75.16745300000001,19092,y,,31210.403442382805
Bears,NFC,41.862306,-87.616672,60602,y,,1772502.288818359
Patriots,AFC,42.090925,-71.26435,58647,y,,779993.896484375
Redskins,NFC,38.907697,-76.864517,20575,y,,596144.4854736328
Packers,NFC,44.501306,-88.062167,54301,y,,1904906.3110351558
Chargers,AFC,32.783117,-117.119525,92103,y,,162789.1731262207
Saints,NFC,29.950931,-90.08136400000001,70112,y,g,5082.938075065613
Texans,AFC,29.684781,-95.410956,77002,y,,151892.0421600342
Bills,AFC,42.773739,-78.786978,14202,y,g,2183030.700683594
Forty-Niners,NFC,37.713485999999996,-122.386256,94102,y,,76104.76970672607
Jaguars,AFC,30.323925,-81.63735600000001,32099,y,,15017.919540405268
Browns,AFC,41.506021999999994,-81.699564,44114,y,,1774051.666259766
Raiders,AFC,37.751411,-122.20088899999999,94502,y,g,1.175494350822288e-34
Chiefs,AFC,39.048914,-94.484039,66027,y,,2567991.3330078116
Rams,NFC,38.632975,-90.188547,63101,y,,1418575.1342773442
Seahawks,NFC,47.595153,-122.331625,98102,y,,51816.63036346437
Bengals,AFC,39.095442,-84.516039,45202,y,,1463954.3151855469
Lions,NFC,42.340156,-83.045808,48205,y,,1837424.7741699219
