player,position,team,birthday
Derrick Henry,RB,TEN,1994-01-04
Alvin Kamara,RB,NO,1995-07-25
Davante Adams,WR,GB,1992-12-24
Dalvin Cook,RB,MIN,1995-08-10
Tyreek Hill,WR,KC,1994-03-01
Aaron Jones,RB,GB,1994-12-02
Austin Ekeler,RB,LAC,1995-05-17
Travis Kelce,TE,KC,1989-10-05
DeAndre Hopkins,WR,ARI,1992-06-06
Calvin Ridley,WR,ATL,1994-12-20
Allen Robinson II,WR,CHI,1993-08-24
Keenan Allen,WR,LAC,1992-04-27
Stefon Diggs,WR,BUF,1993-11-29
David Montgomery,RB,CHI,1997-06-07
D'Andre Swift,RB,DET,1999-01-14
Robert Woods,WR,LAR,1992-04-10
Nick Chubb,RB,CLE,1995-12-27
A.J. Brown,WR,TEN,1997-06-30
Justin Jefferson,WR,MIN,1999-01-16
Miles Sanders,RB,PHI,1997-05-01
Josh Jacobs,RB,LV,1998-02-11
D.K. Metcalf,WR,SEA,1997-12-14
Darren Waller,TE,LV,1992-09-13
Brandon Aiyuk,WR,SF,1998-03-17
Terry McLaurin,WR,WAS,1995-09-15
J.K. Dobbins,RB,BAL,1998-12-17
Chris Carson,RB,SEA,1994-09-16
Jonathan Taylor,RB,IND,1999-01-19
Adam Thielen,WR,MIN,1990-08-22
Patrick Mahomes II,QB,KC,1995-09-17
Mike Evans,WR,TB,1993-08-21
David Johnson,RB,HOU,1991-12-16
T.J. Hockenson,TE,DET,1997-07-03
Diontae Johnson,WR,PIT,1996-07-05
Jarvis Landry,WR,CLE,1992-11-28
D.J. Moore,WR,CAR,1997-04-14
Cooper Kupp,WR,LAR,1993-06-15
Kareem Hunt,RB,CLE,1995-08-06
Mark Andrews,TE,BAL,1996-09-06
Kenyan Drake,RB,LV,1994-01-26
Melvin Gordon III,RB,DEN,1993-04-13
J.D. McKissic,RB,WAS,1993-08-15
Chris Godwin,WR,TB,1996-02-27
Brandin Cooks,WR,HOU,1993-09-25
Amari Cooper,WR,DAL,1994-06-17
Corey Davis,WR,NYJ,1995-01-11
Leonard Fournette,RB,TB,1995-01-18
Tyler Lockett,WR,SEA,1992-09-28
Giovani Bernard,RB,CIN,1991-11-22
Marvin Jones Jr.,WR,JAC,1990-03-12
Wayne Gallman,RB,NYG,1994-10-01
Kyler Murray,QB,ARI,1997-08-07
Mike Davis,RB,ATL,1992-05-11
Myles Gaskin,RB,MIA,1997-02-15
Nyheim Hines,RB,IND,1996-11-12
Aaron Rodgers,QB,GB,1983-12-02
Tony Pollard,RB,DAL,1997-04-30
Darrell Henderson,RB,LAR,1997-08-19
Robert Tonyan,TE,GB,1994-04-30
Cole Beasley,WR,BUF,1989-04-26
Robby Anderson,WR,CAR,1993-05-09
Le'Veon Bell,RB,KC,1992-02-18
T.Y. Hilton,WR,IND,1989-11-14
JuJu Smith-Schuster,WR,PIT,1996-11-22
James White,RB,NE,1992-02-03
Chase Edmonds,RB,ARI,1996-04-13
Hunter Henry,TE,NE,1994-12-07
Chase Claypool,WR,PIT,1998-07-07
Curtis Samuel,WR,WAS,1996-08-11
Deshaun Watson,QB,HOU,1995-09-14
Jeff Wilson Jr.,RB,SF,1995-11-16
Emmanuel Sanders,WR,BUF,1987-03-17
Dallas Goedert,TE,PHI,1995-01-03
Jalen Hurts,QB,PHI,1998-08-07
Devin Singletary,RB,BUF,1997-09-03
Josh Allen,QB,BUF,1996-05-21
Antonio Brown,WR,TB,1988-07-10
Keke Coutee,WR,HOU,1997-01-14
Latavius Murray,RB,NO,1990-01-18
Lamar Jackson,QB,BAL,1997-01-07
Noah Fant,TE,DEN,1997-11-20
CeeDee Lamb,WR,DAL,1999-04-08
Marquise Brown,WR,BAL,1997-06-04
Tim Patrick,WR,DEN,1993-11-23
Tyler Boyd,WR,CIN,1994-11-15
Justin Herbert,QB,LAC,1998-03-10
Phillip Lindsay,RB,HOU,1994-07-24
D.J. Chark Jr.,WR,JAC,1996-09-23
Tee Higgins,WR,CIN,1999-01-18
Russell Wilson,QB,SEA,1988-11-29
Logan Thomas,TE,WAS,1991-07-01
Nelson Agholor,WR,NE,1993-05-24
Jamaal Williams,RB,DET,1995-04-03
Frank Gore,RB,NYJ,1983-05-14
Russell Gage,WR,ATL,1996-01-22
Ryan Tannehill,QB,TEN,1988-07-27
Tom Brady,QB,TB,1977-08-03
Gus Edwards,RB,BAL,1995-04-13
Salvon Ahmed,RB,MIA,1998-12-30
Todd Gurley II,RB,ATL,1994-08-03
Sterling Shepard,WR,NYG,1993-02-10
Benny Snell Jr.,RB,PIT,1998-02-26
Evan Engram,TE,NYG,1994-09-02
Jamison Crowder,WR,NYJ,1993-06-17
DeVante Parker,WR,MIA,1996-03-16
Rob Gronkowski,TE,TB,1989-05-14
Julio Jones,WR,ATL,1989-02-08
Michael Pittman Jr.,WR,IND,1997-10-05
Allen Lazard,WR,GB,1995-12-11
Jerry Jeudy,WR,DEN,1999-04-24
Jakobi Meyers,WR,NE,1996-11-09
Ito Smith,RB,ATL,1995-09-11
Kalen Ballage,RB,PIT,1995-12-22
Christian Kirk,WR,ARI,1996-11-18
Sony Michel,RB,NE,1995-02-17
James Robinson,RB,JAC,1998-08-09
Matt Ryan,QB,ATL,1985-05-17
Malcolm Brown,RB,MIA,1993-05-15
Baker Mayfield,QB,CLE,1995-04-14
Tua Tagovailoa,QB,MIA,1998-03-02
Jalen Reagor,WR,PHI,1999-01-01
Darius Slayton,WR,NYG,1997-01-12
Carlos Hyde,RB,JAC,1990-09-20
Drew Brees,QB,NO,1979-01-15
James Conner,RB,PIT,1995-05-05
Ezekiel Elliott,RB,DAL,1995-07-22
Eric Ebron,TE,PIT,1993-04-10
Boston Scott,RB,PHI,1995-04-27
Jared Goff,QB,DET,1994-10-14
Darnell Mooney,WR,CHI,1997-10-29
Mitchell Trubisky,QB,BUF,1994-08-20
Austin Hooper,TE,CLE,1994-10-29
Ben Roethlisberger,QB,PIT,1982-03-02
Kirk Cousins,QB,MIN,1988-08-19
Matthew Stafford,QB,LAR,1988-02-07
Hayden Hurst,TE,ATL,1993-08-24
Sammy Watkins,WR,KC,1993-06-14
