,PlayerID,FirstName,LastName,Position,Height,Weight,BirthDate,College,PositionCategory,PhotoUrl,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick
0,14891,Tommy,Bohanon,FB,"6'1""",246.0,1990-09-10T00:00:00,Wake Forest,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/14891.png,2013.0,7.0,215.0
1,22268,Will,Sunderland,CB,"6'4""",196.0,1996-09-11T00:00:00,Troy,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22268.png,2020.0,,
2,22276,DeMichael,Harris,WR,"5'9""",175.0,1998-07-12T00:00:00,Southern Mississippi,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22276.png,2020.0,,
3,22277,Carter,O'Donnell,OT,"6'5""",310.0,1998-12-23T00:00:00,Alberta (Canada),OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,2020.0,,
4,17457,Nick,Easton,OL,"6'3""",303.0,1992-06-16T00:00:00,Harvard,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17457.png,2015.0,,
5,21559,Deyon,Sizer,DE,"6'4""",280.0,1996-08-16T00:00:00,Colorado State-Pueblo,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21559.png,2019.0,,
6,21692,Jerry,Jeudy,WR,"6'1""",193.0,1999-04-24T00:00:00,Alabama,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21692.png,2020.0,1.0,15.0
7,21737,Tyrie,Cleveland,WR,"6'2""",211.0,1997-09-20T00:00:00,Florida,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21737.png,2020.0,7.0,252.0
8,20799,Nate,Herbig,G,"6'4""",334.0,1998-07-10T00:00:00,Stanford,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20799.png,2019.0,,
9,20809,Elijah,Holyfield,RB,"5'10""",215.0,1997-11-30T00:00:00,Georgia,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20809.png,2019.0,,
10,14894,Sheldon,Richardson,DT,"6'3""",294.0,1990-11-29T00:00:00,Missouri,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/14894.png,2013.0,1.0,13.0
11,22278,Kameron,Cline,DT,"6'4""",270.0,1998-02-19T00:00:00,South Dakota,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,2020.0,,
12,22279,Chris,Williams,DT,"6'2""",305.0,1998-06-16T00:00:00,Wagner,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,2020.0,,
13,22458,Farrod,Green,TE,"6'4""",240.0,1997-06-10T00:00:00,Mississippi State,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22458.png,2020.0,,
14,21759,K.J.,Hamler,WR,"5'9""",178.0,1999-07-08T00:00:00,Penn State,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21759.png,2020.0,2.0,46.0
15,21794,Albert,Okwuegbunam,TE,"6'5""",258.0,1998-04-25T00:00:00,Missouri,OFF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21794.png,2020.0,4.0,118.0
16,16577,Stanley,Jean-Baptiste,CB,"6'3""",218.0,1990-04-12T00:00:00,Nebraska,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16577.png,2014.0,2.0,58.0
17,15978,Marcus,Smith,OLB,"6'3""",251.0,1992-03-31T00:00:00,Louisville,DEF,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15978.png,2014.0,1.0,26.0
